serial,metro,ownershp,taxincl,rent,hhincome,sex,age,birthqtr,marst,hispan,racamind,racasian,racblk,racwht,empstat,labforce,ftotinc,incwelfr,uhrswork,weight1
289864,0,2,0,300,26200,2,7,3,6,0,1,1,1,2,0,0,26200,99999,0,0.5
289865,4,1,0,0,31000,1,69,4,1,0,1,1,1,2,1,2,31000,0,24,0.5
289865,4,1,0,0,31000,2,57,2,1,0,1,1,1,2,3,1,31000,0,0,0.5
289867,0,1,1,0,10200,2,61,3,4,0,1,1,2,1,3,1,10200,0,0,0.5
289868,3,1,0,0,21000,2,38,1,6,0,1,1,2,1,1,2,21000,0,32,0.5
289869,0,1,2,0,24000,2,41,2,6,0,1,1,1,2,1,2,24000,0,40,0.5
289869,0,1,2,0,24000,1,16,2,6,0,1,1,1,2,3,1,24000,0,0,0.5
289870,4,2,0,800,19200,1,67,2,5,0,2,1,1,2,3,1,8300,600,0,0.5
289870,4,2,0,800,19200,2,35,4,6,0,1,1,2,1,3,1,8300,600,0,0.5
289871,4,1,2,0,55000,1,22,1,6,0,1,1,1,2,1,2,55000,0,42,0.5
289874,0,2,0,2100,4450,2,83,1,5,0,1,1,1,2,3,1,4450,0,0,0.5
289875,3,2,0,400,40000,1,61,3,2,0,1,1,2,1,1,2,40000,0,40,0.5
289875,3,2,0,400,40000,2,31,3,2,0,1,1,2,1,2,2,40000,0,0,0.5
289875,3,2,0,400,40000,1,5,1,6,0,1,1,2,1,0,0,40000,99999,0,0.5
289875,3,2,0,400,40000,1,2,4,6,0,1,1,2,1,0,0,40000,99999,0,0.5
289876,1,2,0,800,45200,1,92,4,1,0,1,1,1,2,3,1,45200,0,0,0.5
289876,1,2,0,800,45200,2,85,2,1,0,1,1,1,2,3,1,45200,0,0,0.5
289877,3,1,0,0,0,1,53,4,6,0,1,1,1,2,3,1,0,0,0,0.5
289878,4,1,0,0,0,2,45,4,2,0,1,2,1,1,3,1,0,0,0,0.5
289878,4,1,0,0,0,1,17,1,6,0,1,2,1,1,3,1,0,0,0,0.5
289879,4,2,0,700,28000,2,39,2,6,0,1,1,2,1,1,2,28000,0,52,0.5
289879,4,2,0,700,28000,2,38,3,6,0,1,1,2,1,1,2,28000,0,50,0.5
289880,4,2,0,1100,22000,2,26,3,6,0,1,1,2,1,3,1,22000,0,4,0.5
289880,4,2,0,1100,22000,1,4,1,6,0,1,1,2,1,0,0,22000,99999,0,0.5
289881,3,1,2,0,25000,2,32,1,6,4,1,1,1,1,3,1,0,0,0,0.5
289881,3,1,2,0,25000,1,41,2,6,4,1,1,1,1,1,2,0,0,40,0.5
289881,3,1,2,0,25000,1,8,2,6,4,1,1,1,1,0,0,0,99999,0,0.5
289881,3,1,2,0,25000,2,6,1,6,4,1,1,1,1,0,0,0,99999,0,0.5
289881,3,1,2,0,25000,2,58,2,4,4,1,1,1,1,3,1,0,0,0,0.5
